"General_phylogeny"	"Common_name"	"Family"	"Genus"	"Species"	"Notes"	"Sequencing_Type"	"Paper"	"Accession"	"Multi_species_accession"	"Run"	"is.subset"	"primerset"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_4_4"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_5_5"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_6_6"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_8_7"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_10_66B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_11_67B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_12_68B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_13_69B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_1_57B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_2_58B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_3_59B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_4_60B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_5_61B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_6_62B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_7_63B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_8_64B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2B_B_2_9_65B"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_1_8"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_2_9"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_3_10"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_4_11"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_5_12"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_6_13"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_7_14"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_2_R_2_8_15"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_1_16"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_2_17"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_3_18"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_4_19"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_5_20"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_6_21"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_7_22"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_8_23"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_3_R_3_9_24"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_4_R_4_1_25"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_4_R_4_4_28"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_4_R_4_6_30"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_4_R_4_8_32"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_4_R_4_9_33"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_1_34"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_2_35"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_3_36"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_4_37"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_6_39"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_7_40"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_5_R_5_8_41"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_1_42"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_2_43"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_3_44"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_4_45"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_5_46"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_6_47"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_7_48"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_6_R_6_8_49"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_10_10B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_1_1B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_2_2B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_3_3B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_4_4B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_5_5B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_6_6B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_7_7B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_8_8B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1B_B_1_9_9B"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1_R_1_3_52"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1_R_1_5_54"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1_R_1_6_55"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1_R_1_7_56"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_1_R_1_8_57"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_10_20B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_1_11B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_2_12B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_3_13B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_4_14B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_5_15B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_6_16B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_7_17B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_8_18B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MW_2B_B_2_9_19B"	TRUE	"ITS3:ITS4"
