Feature ID	taxonomy
OTU_10032	k__Fungi; p__Basidiomycota; c__Moniliellomycetes; o__Moniliellales; f__Moniliellaceae; g__Trichosporonoides
OTU_10033	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Roussoellaceae; g__Neoroussoella
OTU_10036	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10039	k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia
OTU_1004	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Wickerhamiella
OTU_10048	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chaetosphaeria
OTU_1005	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola
OTU_10051	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10054	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Peltigerales; f__Collemataceae; g__Leptogium
OTU_10055	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10056	k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia
OTU_10057	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10058	k__Fungi; p__Mucoromycota; c__Endogonomycetes; o__NA; f__NA; g__NA
OTU_1006	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariales_fam_Incertae_sedis; g__Fusidium
OTU_10065	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Massarinaceae; g__Massarina
OTU_10066	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__NA
OTU_1007	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10072	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Badarisama
OTU_10073	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10074	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10076	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10078	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__NA; f__NA; g__NA
OTU_10079	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pyrenochaetopsidaceae; g__Pyrenochaetopsis
OTU_10080	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10081	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__NA; g__NA
OTU_10082	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Neopyrenochaetaceae; g__Neopyrenochaeta
OTU_10084	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymosphaeriaceae; g__NA
OTU_10085	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10086	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10087	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Sporocadaceae; g__Neopestalotiopsis
OTU_10092	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10093	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10094	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Sporocadaceae; g__Neopestalotiopsis
OTU_10096	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Trichomeriaceae; g__NA
OTU_10097	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Chlamydocillium
OTU_10105	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Teratosphaeriaceae; g__NA
OTU_10117	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__NA
OTU_10118	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_1012	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10123	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Glutinomyces
OTU_10124	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__NA; g__NA
OTU_10126	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Leohumicola
OTU_1013	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Hansfordiaceae; g__Hansfordia
OTU_10130	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__NA; g__NA
OTU_10132	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__NA; g__NA
OTU_10137	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10139	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces
OTU_1014	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Barnettozyma
OTU_10144	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10148	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces
OTU_10149	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_1015	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Apiosporaceae; g__Neoarthrinium
OTU_10156	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__NA; g__NA
OTU_10157	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymosphaeriaceae; g__Montagnula
OTU_10161	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus
OTU_10162	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus
OTU_10166	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora
OTU_1017	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Plectosphaerella
OTU_10174	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__NA; g__NA
OTU_10181	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactarius
OTU_1019	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Atractosporales; f__Conlariaceae; g__Conlarium
OTU_10199	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Schizoporaceae; g__Xylodon
OTU_102	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactarius
OTU_10200	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pyrenochaetopsidaceae; g__Pyrenochaetopsis
OTU_10201	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10221	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Lawreymyces
OTU_1023	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Phaeothecoidiellaceae; g__Sporidesmajora
OTU_10231	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__NA; f__NA; g__NA
OTU_1024	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Sarocladiaceae; g__Sarocladium
OTU_10241	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__NA; f__NA; g__NA
OTU_10243	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania
OTU_10244	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
OTU_1025	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__NA; g__NA
OTU_10253	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Apiosporaceae; g__Nigrospora
OTU_10257	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Cladobotryum
OTU_10258	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Apiosporaceae; g__Nigrospora
OTU_1026	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Roussoellaceae; g__Xenoroussoella
OTU_10262	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Apiosporaceae; g__Nigrospora
OTU_10268	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Triscelophorus
OTU_1027	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces
OTU_10275	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_1028	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus
OTU_10282	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__NA
OTU_10289	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__NA
OTU_10293	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10296	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__NA
OTU_10297	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_103	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sulcatisporaceae; g__NA
OTU_1030	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__NA
OTU_10301	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__NA; g__NA
OTU_10306	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10308	k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia
OTU_10309	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10310	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10313	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__NA; g__NA
OTU_10316	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__NA; f__NA; g__NA
OTU_10319	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__NA; g__NA
OTU_10320	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10322	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida
OTU_10324	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Sporocadaceae; g__Pseudopestalotiopsis
OTU_10326	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__NA; g__NA
OTU_10327	k__Fungi; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Cunninghamellaceae; g__Absidia
OTU_10330	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Lachnocladiaceae; g__Scytinostroma
OTU_10331	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10332	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10337	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10339	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__NA; g__NA
OTU_10342	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__NA; g__NA
OTU_10344	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae; g__Alfaria
OTU_1035	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Stephanonectria
OTU_10350	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__NA; g__NA
OTU_10359	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton
OTU_1036	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__NA
OTU_10360	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10361	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum
OTU_10362	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycodaceae; g__Hanseniaspora
OTU_10363	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10364	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycodaceae; g__Hanseniaspora
OTU_10365	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10368	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Waltergamsia
OTU_10373	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Lachnaceae; g__Lachnum
OTU_10374	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella
OTU_10376	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Martiniozyma
OTU_10381	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__NA; g__NA
OTU_10384	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Diutina
OTU_10385	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma
OTU_10386	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10387	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10389	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_1039	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amplistromatales; f__Amplistromataceae; g__Wallrothiella
OTU_10391	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Diutina
OTU_10396	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10398	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_104	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_1040	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10402	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__NA; g__NA
OTU_10405	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__NA; g__NA
OTU_10407	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Diutina
OTU_1041	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida
OTU_10414	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10416	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__NA; g__NA
OTU_10417	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10422	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10423	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10424	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus
OTU_10425	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
OTU_1043	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10432	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania
OTU_10433	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10434	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__NA
OTU_10435	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10436	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__NA
OTU_1044	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Pleurotheciales; f__Pleurotheciaceae; g__Phaeoisaria
OTU_10448	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Paxillaceae; g__Alpova
OTU_1045	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__NA; f__NA; g__NA
OTU_10455	k__Fungi; p__Basidiomycota; c__Pucciniomycetes; o__Septobasidiales; f__Septobasidiaceae; g__Septobasidium
OTU_10459	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_1046	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Sporocadaceae; g__Neopestalotiopsis
OTU_10460	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10466	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__NA
OTU_10468	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10474	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Diutina
OTU_10477	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Microdochiaceae; g__Microdochium
OTU_10478	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10482	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10485	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Heterogastridiales; f__Heterogastridiaceae; g__Heterogastridium
OTU_10486	k__Fungi; p__Basidiomycota; c__Moniliellomycetes; o__Moniliellales; f__Moniliellaceae; g__NA
OTU_10487	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10489	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10493	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10496	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycopsidaceae; g__Saccharomycopsis
OTU_10497	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida
OTU_10498	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_1050	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Mycosphaerella
OTU_10507	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__NA
OTU_10509	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__NA; g__NA
OTU_10511	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__NA; g__NA
OTU_10513	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10516	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__NA; g__NA
OTU_10521	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Caliciales; f__Caliciaceae; g__Amandinea
OTU_10523	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Blastobotrys
OTU_10525	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
OTU_10536	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__NA; g__NA
OTU_10538	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_1054	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Pseudocercospora
OTU_10541	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae; g__Xenomyrothecium
OTU_10543	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10545	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__NA; g__NA
OTU_10546	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10547	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__NA; g__NA
OTU_10549	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Dacryobolaceae; g__Postia
OTU_10565	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__NA; f__NA; g__NA
OTU_10566	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Macrodiplodiopsidaceae; g__Pseudochaetosphaeronema
OTU_10567	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Martininia
OTU_1057	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__NA; g__NA
OTU_10572	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__NA; g__NA
OTU_10573	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Botryobasidiaceae; g__Botryobasidium
OTU_10577	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__NA; f__NA; g__NA
OTU_10581	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariales_fam_Incertae_sedis; g__Lunulospora
OTU_10585	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cuniculitremaceae; g__Kockovaella
OTU_10587	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiomycetes_ord_Incertae_sedis; f__Microsporomycetaceae; g__Microsporomyces
OTU_10588	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Boliniales; f__Boliniaceae; g__Camarops
OTU_1059	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10591	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Cytosporaceae; g__Cytospora
OTU_10594	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__NA; g__NA
OTU_10595	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Leohumicola
OTU_10597	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora
OTU_10606	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__NA
OTU_10608	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10612	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10621	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Sclerotinia
OTU_10622	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10623	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__NA; f__NA; g__NA
OTU_10625	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Lecanoraceae; g__Rhizoplaca
OTU_1063	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella
OTU_10633	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Trametes
